sentiment,id,date,query,user,tweet
Negative,1564412138,Mon Apr 20 03:22:03 PDT 2009,NO_QUERY,gossipgirl80,Boo hiss!!!! Mia has her first pox blisters!! 
Positive,1979662984,Sun May 31 04:00:10 PDT 2009,NO_QUERY,themagicfairy,@algebraoverdose he makes me meep with happiness 
Negative,2255292852,Sat Jun 20 11:02:52 PDT 2009,NO_QUERY,JDPullinger,"Jenson Button down in 6th for the British GP tomorrow, ouch. Things aren't looking good for a Brit to win at home tomorrow. "
Positive,1986571921,Sun May 31 19:01:15 PDT 2009,NO_QUERY,PowerMarketers,via @cjs_3: Thank you for Following.....Have a Great Day 
Negative,1971009031,Sat May 30 05:56:51 PDT 2009,NO_QUERY,ann_donnelly,Just realised the trampoline isn't as easy at 45 as it was at 10 
Negative,2236894004,Fri Jun 19 04:46:02 PDT 2009,NO_QUERY,AbqDunn,No more gardunos  wanted a margarita before the flight  http://bit.ly/PLbQa  http://twitpic.com/7sjh9
Negative,2190999414,Tue Jun 16 04:16:38 PDT 2009,NO_QUERY,SarahAfiqa,rented 3 movies today. Hoping that best friend would sleepover but I don't think she will.  http://plurk.com/p/11bypw
Negative,2205076008,Wed Jun 17 03:53:45 PDT 2009,NO_QUERY,natalieuva,Ugh i dÃ±t feel good at all ... Up all night 
Negative,2260665429,Sat Jun 20 19:35:00 PDT 2009,NO_QUERY,four20thc,Bored at home...WTF! Lookin for somethin to do tonight... 
Positive,1677611334,Sat May 02 03:01:32 PDT 2009,NO_QUERY,lisanne77,@asphotos Depending on work that should be fine   Will talk more later in the week!
Negative,1565429131,Mon Apr 20 06:44:11 PDT 2009,NO_QUERY,lmendizza,@JanJanAshley definitely going to come find you! Ps text me your number I don't have any 
Negative,1961220887,Fri May 29 09:10:04 PDT 2009,NO_QUERY,NKArmyTNgirl,UGH! I have GOT TO STOP biting my nails  grrrrr
Negative,2176775303,Mon Jun 15 04:43:30 PDT 2009,NO_QUERY,nicolamtan,"@beatrice_g ha, nawww. dont have swine flu  IVE SWORN ON TWITTER SO MUCH."
Positive,2004118365,Tue Jun 02 07:41:44 PDT 2009,NO_QUERY,nicemusic,@The_Blizzard - Thanx mate! See you tonite!  I'll probably be there around 20:30.. 
Negative,1686675186,Sun May 03 06:22:04 PDT 2009,NO_QUERY,normanhorn,@nathanayres sorry you're not doing too well! 
Negative,2063185107,Sun Jun 07 01:40:45 PDT 2009,NO_QUERY,amy_tran,"@alibawa hellllluh fun, wish you went "
Positive,1468556133,Tue Apr 07 02:23:35 PDT 2009,NO_QUERY,Veekalvsjbx3,@suitelifeofkell and then i stole that shirt. and sold it on ebay 
Positive,1979452441,Sun May 31 03:06:28 PDT 2009,NO_QUERY,aj_quartermaine,"@Tiffzeroseven He Did It Himself, which is Good A.J Legacy Lives On "
Negative,2263463504,Sun Jun 21 00:53:02 PDT 2009,NO_QUERY,Elsa_DC,"Wondering if my perception of life is widespread...looking around, the first answer that comes to my mind is: &quot;definitely not!&quot;  "
Negative,2240682976,Fri Jun 19 10:02:20 PDT 2009,NO_QUERY,HnrySrgnt,Brace Face  x
Negative,2062434374,Sat Jun 06 23:13:18 PDT 2009,NO_QUERY,jbirdjoy,"Had a wonderful time watching Bon Iver. Still fighting the dizzy headaches, though.  Glasses time, hoping it helps."
Positive,2051760916,Fri Jun 05 22:44:43 PDT 2009,NO_QUERY,talk2manoj,Its a long time since last tweet 
Negative,1755178072,Sun May 10 08:27:51 PDT 2009,NO_QUERY,Miranda_Kate,completely and utterly screwed for tomorrows exams. 
Negative,1989720038,Mon Jun 01 02:34:06 PDT 2009,NO_QUERY,gilsimmons,@JackieV6 No Emmy 
Negative,1882583340,Fri May 22 07:07:53 PDT 2009,NO_QUERY,QuikKash,@itsBUFFIE imma have to come stalk you. everyone wanna be MIA with twan 
Negative,2205007292,Wed Jun 17 03:42:45 PDT 2009,NO_QUERY,willtompsett,@NelDaffodil I pickled my conkers and baked them in oven ...another night in Casualty for me then 
Negative,1957318639,Fri May 29 00:08:36 PDT 2009,NO_QUERY,lornali,@quikness Waaaahhh! So sad     Let me know when ur next down this way!
Negative,2204026257,Wed Jun 17 01:07:53 PDT 2009,NO_QUERY,marcosolomons,Exam time............... OMG I Need to study hard this time damn..... 
Positive,1981295236,Sun May 31 08:51:13 PDT 2009,NO_QUERY,gelato92,At colonial! Robert is comming with his family. This will be a fun day. All I need is my biffel and then BAM! Perfect moment 
Positive,2063797065,Sun Jun 07 04:06:40 PDT 2009,NO_QUERY,theshepherdsdog,"@alivicwil Even if you've never found your own fingers, I think you'll understand T4... Don't think T4 is about complex story arcs "
Positive,1973261068,Sat May 30 10:48:21 PDT 2009,NO_QUERY,CrazyMangePR,@taylorswift13 are you coming to Puerto Rico one day? i really wanna meet you and take a pic with you  and go to one of your concerts ;)
Positive,2069006266,Sun Jun 07 15:05:39 PDT 2009,NO_QUERY,andy131,@joshgroban I can't believe you're on twitter... yayyyy!!! New album anytime soon?!? It's about time 
Positive,2052746324,Sat Jun 06 01:51:49 PDT 2009,NO_QUERY,hayley_reay22,i am going to see take that today at the stadium of light 
Positive,1980120680,Sun May 31 05:45:28 PDT 2009,NO_QUERY,xBoomBoomPowx,"@mileycyrus Miley i voted for you, miley your going to win i love you and your amazing..everything is going to be fine!  goodluck"
Negative,1825531608,Sun May 17 06:01:42 PDT 2009,NO_QUERY,kali_tee,"@wabbitz18 nope, its coming out june 2, sorry   15 days awayy"
Positive,1834652790,Mon May 18 03:44:32 PDT 2009,NO_QUERY,rockapalindrome,@RyanStar well its not too early considering im up as well. stupid school. have fun in florida! 
Positive,1956275985,Thu May 28 21:32:12 PDT 2009,NO_QUERY,fairly_biased,"@melissasparks hey thanks! stiupid twitter, i never kno when u're on!  happy friday!"
Positive,1970728843,Sat May 30 05:00:13 PDT 2009,NO_QUERY,JK85,@MCal27 That means I'm gonna find it addictive too. Alex is part of the choice tonight so I don't think it's gonna be a good sci-fi 
Positive,1988712877,Sun May 31 23:09:29 PDT 2009,NO_QUERY,superficialgirl,@0ladyb0 http://bit.ly/b2zNR  here is the vid  got it on friday and used it the whole weekend  
Negative,2060196592,Sat Jun 06 18:26:44 PDT 2009,NO_QUERY,penguinsfan,I don't want fleury pulled though 
Positive,2176631561,Mon Jun 15 04:22:26 PDT 2009,NO_QUERY,meetdux,@kiteboardertje @usher @MossLover Appreciate the birthday greeting  Do I have to act like my age?
Negative,1880976903,Fri May 22 03:10:09 PDT 2009,NO_QUERY,RileyAngel87,@Adrienne_Bailon please do that cause I heard you were awesome last time but I missed it 
Positive,2176811174,Mon Jun 15 04:48:36 PDT 2009,NO_QUERY,Ronskeeze,Woo+hoo!! First tweet from celluar device! 
Negative,2201128032,Tue Jun 16 19:50:44 PDT 2009,NO_QUERY,missyisaSLOTH,"my grade average is average.  I don't want a C, I want a B "
Negative,1825818720,Sun May 17 06:56:01 PDT 2009,NO_QUERY,bmaynorx3,ahhhh. moms and brea are on their way to get us.  see you guys again in 3 weeks.
Negative,2328642228,Thu Jun 25 09:49:29 PDT 2009,NO_QUERY,missandree,@TorontoSymphony How can you have sunshine? Where are you? Still raining in Forest Hill 
Negative,1974129781,Sat May 30 12:30:06 PDT 2009,NO_QUERY,pud,Got two bagels for me and two for @ilona but I ate all four of them 
Negative,2196206606,Tue Jun 16 12:09:54 PDT 2009,NO_QUERY,jacobsummers,"@polarna10 I mean, I figured, but I wanted to know cause I can't find my phone. "
Negative,1684841905,Sat May 02 22:12:48 PDT 2009,NO_QUERY,willglencross,my babe girlfriend just left for home and work  devvv
Negative,2006954611,Tue Jun 02 11:55:54 PDT 2009,NO_QUERY,TeeDoll,@itscasibaby ...........you're not coming are you 
Negative,1994989614,Mon Jun 01 12:46:34 PDT 2009,NO_QUERY,LearningPool,Finishing up another busy day at Pool Heights - we have swallows nesting in our backyard - out amongst the smokers  - exciting for us
Positive,2067413967,Sun Jun 07 12:18:03 PDT 2009,NO_QUERY,5280mom,@briankludt I will 
Positive,2055088743,Sat Jun 06 08:40:35 PDT 2009,NO_QUERY,kaimy,Austin Ã¬s a whore!!! Dack head! 
Negative,1827533334,Sun May 17 10:54:49 PDT 2009,NO_QUERY,HOTTVampChick,"@KristenCampisi (checkin calendar) nope, not yet "
Negative,2236056959,Fri Jun 19 02:44:53 PDT 2009,NO_QUERY,kerryisonfire,Gutted that my damn iPod won't play the new blackout vid  will have to watch it afterssss
Positive,1970555326,Sat May 30 04:20:10 PDT 2009,NO_QUERY,dadjanin,@littlemisslilac what are you gonna do at the fort? 
Positive,1573129873,Mon Apr 20 23:50:27 PDT 2009,NO_QUERY,SharGorgiiss,watching The Jeffersons 
Negative,1982159560,Sun May 31 10:38:52 PDT 2009,NO_QUERY,msn86,really excited about Maryland Crabs tonight! but not so excited about having to say goodbye to @hanab.... 
Positive,1955889809,Thu May 28 20:48:09 PDT 2009,NO_QUERY,boo1031,I'm Drunk and happy! Nice weather tonight   http://myloc.me/1XaJ
Positive,1754880599,Sun May 10 07:39:14 PDT 2009,NO_QUERY,keza34,@ComedyQueen tweet you later #TwitterTakeover #TwitterTakeover #TwitterTakeover #TwitterTakeover #TwitterTakeover #twitterTakeover lol 
Negative,2199856485,Tue Jun 16 18:05:57 PDT 2009,NO_QUERY,M1N3RV4,@ariannacarolina  what's wrong?
Negative,2181716885,Mon Jun 15 12:12:05 PDT 2009,NO_QUERY,kalylkadri,6 favorites online... none of them is my actual favorite... i miss you 
Positive,2190786162,Tue Jun 16 03:43:24 PDT 2009,NO_QUERY,Mz_Perez,All my ASOS stuff arrived which means I can finally start packing..7 days baby!! 
Positive,1563795222,Mon Apr 20 00:18:04 PDT 2009,NO_QUERY,joshneedscoffee, not tonight
Negative,1794538728,Thu May 14 06:02:19 PDT 2009,NO_QUERY,Kendra4real,I'm up early enough *sigh* you can say I didn't get any sleep  but it's okay I can work it
Negative,1751063733,Sat May 09 18:34:47 PDT 2009,NO_QUERY,uolover777,"@Superduperllama That's cool! I just saw a sexy beard and like, I looked back to see the guy and the freaking trunk opened! "
Negative,2329166295,Thu Jun 25 10:25:44 PDT 2009,NO_QUERY,mdebarra,"doesnt understand anymore. a friend of mine died of a heart attack, 35ish, healthy, didn't smoke r drink much. 2 lovely children.bye Loz "
Negative,1468052623,Mon Apr 06 23:27:50 PDT 2009,NO_QUERY,tomazstolfa,I've just spent 1 hour to enter all the bureaucratic nonsense for March. What a waste of my time 
Negative,2322966087,Wed Jun 24 23:38:12 PDT 2009,NO_QUERY,geeniebooxp,@nellanetsrik I wish I had that appetite. I ate so much that it undid my workout 
Positive,2052789078,Sat Jun 06 02:01:43 PDT 2009,NO_QUERY,superch,Hanging out at Cla's.. They have a cute new (unnamed) beagle! Cuteness! 
Negative,1992080139,Mon Jun 01 08:09:55 PDT 2009,NO_QUERY,fantomkitsune,"@kabitzin495 I'm following you and ign...keep me updated, LOL.  I'm moving my office and can't check anything "
Positive,2011929309,Tue Jun 02 19:47:41 PDT 2009,NO_QUERY,itsmesaj,It got boring so I attempted riverdancing  
Negative,2049651766,Fri Jun 05 17:15:21 PDT 2009,NO_QUERY,saruh,@scarsxstories omg bb.  &lt;3 when do you get out?! i wanna talk to you so bad.
Positive,1986763845,Sun May 31 19:17:06 PDT 2009,NO_QUERY,kjgriffin18,Ahhh twlight  woo hoo new moon  preview
Positive,1960650275,Fri May 29 08:17:40 PDT 2009,NO_QUERY,kenzierae15,is just now getting twitter lmao 
Negative,2207182643,Wed Jun 17 07:35:44 PDT 2009,NO_QUERY,ritaolds,My Mommy said I lost weigh. I mean when you eat one meal a day 'cause your broke-- it's bound to happen 
Positive,2045032172,Fri Jun 05 10:08:22 PDT 2009,NO_QUERY,MicMueller,Just got done with the New Capital Building now going to the Old one  partttyyy! 
Positive,1965968614,Fri May 29 16:52:45 PDT 2009,NO_QUERY,AdamRPhoto,@elwoodofficial you're my most rad/badass girl! and if you come party on my birthday i'll get you wasssssssted! 
Negative,1980016097,Sun May 31 05:23:09 PDT 2009,NO_QUERY,Andrea_Jo,Up early   kitty wanted cuddles and kisses...... Why does she insist on having them sooooo early....
Positive,2000489062,Mon Jun 01 22:13:50 PDT 2009,NO_QUERY,maggieht,"new ECO hammock today. Summertime and the living is easy.  Also, looking for cheap flights to job hunt... oy."
Positive,2065059529,Sun Jun 07 07:48:13 PDT 2009,NO_QUERY,larnsriver,@SheenaNastaja Well you can sing &quot;at the top of your lungs&quot; and can keep up with the original minus one and which hell I can't do 
Positive,1969950466,Sat May 30 01:51:13 PDT 2009,NO_QUERY,Jimmysmacks,@NiagraFallz ALWAYS THE UNDERCOVER....  LMFAOO JK
Negative,2244026130,Fri Jun 19 14:12:21 PDT 2009,NO_QUERY,creeksta,"My cousin was talking to me about selling a 2000 Ford Focus before all this went down, the repairs were over half the price he wanted. "
Positive,1980374855,Sun May 31 06:33:23 PDT 2009,NO_QUERY,mcjonasprincess,@Melissoua Ooh i went to a BBQ last night veen lounging around in the sun a bit today haha. What about you?  XOXO
Negative,2302614142,Tue Jun 23 17:03:17 PDT 2009,NO_QUERY,JDixon215,"Alright friends, must now leave the Twitterverse my alarm clock sounds off in a few hours  *sigh*"
Negative,1991311832,Mon Jun 01 06:48:28 PDT 2009,NO_QUERY,JujuDeRoussie,@crystalsinger I hope so too. French Prime Minister said we must prepare for the worst though and I fear he's right 
Positive,2051277427,Fri Jun 05 21:27:54 PDT 2009,NO_QUERY,JavaJunky,Yay! twitter is done with maintenance? 
Positive,1998431744,Mon Jun 01 18:32:16 PDT 2009,NO_QUERY,tumblemoose,"@Linda704 Oh, I did the sub teaching thing for about a month - back into tm and the writing thing now.  feels good!  You ARE busy! "
Negative,1823508956,Sat May 16 22:09:45 PDT 2009,NO_QUERY,fadedskyy,misses those nights i shared with you. i'm going to sleep so i can stop thinking about stuff and looking at pictures  good night.
Positive,2059549134,Sat Jun 06 17:09:21 PDT 2009,NO_QUERY,summerfly1,"Summer Bird, Summerfly, Summer Breeze, Summertime...and the livin's easy  Summer Bird wins the Belmont Stakes http://twitter.com/WSJ"
Negative,2191742323,Tue Jun 16 05:53:14 PDT 2009,NO_QUERY,emmyvictoria,@CrunkStella awwww  darn it :L oh well we need to do this :L TO SAVE MAN KIND :L
Negative,2263071917,Sat Jun 20 23:53:14 PDT 2009,NO_QUERY,dungkal,"Started creating a book on Drupal based on CS's product on copyright. Pretty tedious, what with the slow Internet connection "
Positive,2050339073,Fri Jun 05 18:29:39 PDT 2009,NO_QUERY,gimmeabreak_,vou dormir escutando Fuck You em repeat 
Positive,2062338507,Sat Jun 06 22:57:25 PDT 2009,NO_QUERY,cheezerwheezer,Group hug at The Lodge. Live long and prosper!! Hahaha!!! 
Negative,2224640149,Thu Jun 18 09:45:05 PDT 2009,NO_QUERY,xomb13,@undercoverPir8 no lie; I cried the first time I seen that. I was 9 and unprepared for the cruel sight of Arnie going down 
Positive,1980553293,Sun May 31 07:03:49 PDT 2009,NO_QUERY,hahaharachel,"@CodyBlair BLINK 182&lt;3 / morning, morning.. it's freezing in my room "
Negative,1989793517,Mon Jun 01 02:49:52 PDT 2009,NO_QUERY,bryanzzzzz,Stupid computer    why is when I want to use it the internet always broke.
Positive,1956759024,Thu May 28 22:37:04 PDT 2009,NO_QUERY,JessLoebig,"Just had a glass of box wine with string cheese, oh so classy!  "
Positive,1823658570,Sat May 16 22:35:26 PDT 2009,NO_QUERY,Gen22,@ECullenz sparkles are good! 
Positive,1677581761,Sat May 02 02:51:58 PDT 2009,NO_QUERY,ALEXIS_fungus,mmmmm pizza and lasagne  sooo full but. feel like my tummy is gonna POP
Positive,1552035752,Sat Apr 18 10:37:10 PDT 2009,NO_QUERY,selina33,Going to see my cuz run at central with my buddy clark! 
Positive,2050978103,Fri Jun 05 19:38:21 PDT 2009,NO_QUERY,92mocha,I LUV this show on TLC...say yes to the dress! I wanna go there one day to buy my wedding dress... 
Negative,1993197381,Mon Jun 01 09:59:26 PDT 2009,NO_QUERY,mdbraber,Twitter Search is a great concept but broken as hell 
Positive,2072444005,Sun Jun 07 21:02:12 PDT 2009,NO_QUERY,lindsaylinds,so missed you c4 people 
Negative,2188892101,Mon Jun 15 22:47:03 PDT 2009,NO_QUERY,erikavalerie,4 hours break till next class... aish 
Negative,1882472891,Fri May 22 06:56:13 PDT 2009,NO_QUERY,garydriftwood,Owe my foot.  Hurts like an amputation. 
Negative,2231333205,Thu Jun 18 18:23:32 PDT 2009,NO_QUERY,taikim220482,@RigoCroeze I missed you 
Negative,2230866635,Thu Jun 18 17:43:03 PDT 2009,NO_QUERY,JenaGirl19,@stubborn_angel I have been so lazy and overeating lately. I have gained a little bit of weight. I need to go on a diet bad! 
Positive,1753839439,Sun May 10 03:43:16 PDT 2009,NO_QUERY,AutomarketRo,@andistancu Un mesaj de eroare: ForbiddenYou don't have permission to access /photo/3180758.jpg on this server. Am ghicit? 
Positive,2061443450,Sat Jun 06 20:52:53 PDT 2009,NO_QUERY,TIBONG,@kel7alpha  I know... I know...  I just like to makes stuff easy... yer getting old... just trying to make the ship sail smooth for ya... 
Negative,2186306421,Mon Jun 15 18:39:03 PDT 2009,NO_QUERY,mle1223,@geezlweez Lol I'm just trying to enjoy it down here before I have to move back to Philly in the fall. I never want to leave this place 
Positive,2062186500,Sat Jun 06 22:33:05 PDT 2009,NO_QUERY,aharen,Whoo hoo!! Go Typekit  http://bit.ly/BKe8m
Positive,2192793281,Tue Jun 16 07:33:29 PDT 2009,NO_QUERY,ashleyspaulding,going to Di's today 
Negative,1834593581,Mon May 18 03:31:30 PDT 2009,NO_QUERY,darkblue_,my subconscious hates me 
Negative,2326125649,Thu Jun 25 06:35:20 PDT 2009,NO_QUERY,AmadorAndrea,hates it when server is down  http://plurk.com/p/13vx69
Positive,2053389107,Sat Jun 06 04:22:45 PDT 2009,NO_QUERY,ferringer,"just held a demo Pre (offline). feels great, nice size. keys will take some getting used to  #PreDay"
Positive,1979139255,Sun May 31 01:47:50 PDT 2009,NO_QUERY,Lily_scandalous,@matthewmoloney Thankyou for the follow 
Positive,1694200295,Mon May 04 01:32:03 PDT 2009,NO_QUERY,igatweets,is up and ready 
Negative,2214670966,Wed Jun 17 17:04:14 PDT 2009,NO_QUERY,lucconouche,US App Store is worst ! 
Negative,2200583880,Tue Jun 16 19:05:50 PDT 2009,NO_QUERY,Go_Fisch,"also, @amloiselle i failed my first attempt at liquid brownies in the new oven....completely cooked after 15 min  so sad."
Negative,2058138993,Sat Jun 06 14:20:34 PDT 2009,NO_QUERY,TessMorris,@lucylemon LOL I know we got the wrong one to start of with it was just an expensive fancy pedometer with no gps 
Negative,2199528125,Tue Jun 16 17:37:52 PDT 2009,NO_QUERY,mariahlyttle,"So, i'm beggig my parents for one pair of skinny jeans and 2 cds........I don't think it's going well "
Positive,1975582373,Sat May 30 15:27:50 PDT 2009,NO_QUERY,Linneee,"Babsitting my cousins baby. Just got her in bed, puh. Love her though! "
Negative,2060353038,Sat Jun 06 18:44:49 PDT 2009,NO_QUERY,SammHpTwifan,@hptwilighter true buts thats sad 
Negative,2200840499,Tue Jun 16 19:26:51 PDT 2009,NO_QUERY,anesio,Hate being sick at home...i'm sooooo bored 
Negative,2052201914,Fri Jun 05 23:58:33 PDT 2009,NO_QUERY,helenapink1,Just woke up and the first thing I teach for is my shiny new laptop. Lax cramps tho  morning all
Positive,1676934354,Fri May 01 23:46:23 PDT 2009,NO_QUERY,LaurenLovesLove,@undacted You betta belivee it!! 
Negative,2322623904,Wed Jun 24 22:57:27 PDT 2009,NO_QUERY,BBArianna,@jonaskevin bad bad bad!! cuz you dont want to follow me!! 
Negative,2264384255,Sun Jun 21 03:42:02 PDT 2009,NO_QUERY,aichaku,"http://twitpic.com/7zvv9 - this is why i wanna give up crafting. super fail, incomplete stuff, aft hrs &amp; hrs of work. "
Negative,2205281642,Wed Jun 17 04:23:30 PDT 2009,NO_QUERY,sacajaweea,@Morgannnn__ haha yess we are!! lol yh but atm we're studying for our exams next week 
Positive,2193553195,Tue Jun 16 08:36:50 PDT 2009,NO_QUERY,matilou,@6FuzzyFeet  hi ! thanks for the follow 
Negative,1982566270,Sun May 31 11:27:56 PDT 2009,NO_QUERY,ryssaroo,New phone stickers!! I didn't get the crab though.  
Positive,1685029551,Sat May 02 22:49:11 PDT 2009,NO_QUERY,MichaelHowe,"Oh I LOVE my strips coming up. After I get some final design work done, I'll launch the new comic. You're gonna love it. "
Positive,1998292084,Mon Jun 01 18:18:33 PDT 2009,NO_QUERY,megatronium,@mlobiondo I would argue that any Apple product is not for power users 
Positive,2001235519,Tue Jun 02 00:14:37 PDT 2009,NO_QUERY,zalafish,"my birthday today, i've gone 13 years without dieing "
Positive,1828051770,Sun May 17 11:59:36 PDT 2009,NO_QUERY,miacupcake,@Missred187 i want to see pictures!!!! And say hi to Duke for me 
Negative,1696085521,Mon May 04 07:34:49 PDT 2009,NO_QUERY,bonersforpuppy,sad i missed the photo contest that bryan lee o'malley had when scott pilgrim vol 5 came out 
Negative,1882120458,Fri May 22 06:16:18 PDT 2009,NO_QUERY,HyannisCapeCod,Humback Whale has washed up in Providence Town on the outer most beach  .  Hearing Cove Beach is a great fishing spot on Cape Cod.
Negative,2243771737,Fri Jun 19 13:52:48 PDT 2009,NO_QUERY,NikiBC,@KeenieBeans do you need to joon my session? Will turn  to ;-D
Positive,1827485422,Sun May 17 10:48:40 PDT 2009,NO_QUERY,SalvaMehtash,http://twitpic.com/5de6n - Chinese Wall - Xu-Ling was walking the stairs and I made a quick panorama 
Positive,1685743557,Sun May 03 01:51:16 PDT 2009,NO_QUERY,cannie_be_arsed,"yesterday turned out better than i thought , i need 2 go 2 the pub with teenagers more often  &amp; no i didnt shag any of em !"
Negative,1468107473,Mon Apr 06 23:45:16 PDT 2009,NO_QUERY,iwantyourjeep,WHAT THE FUCK YOUKU  I WANT TO WATCH SKINS.
Positive,1971121277,Sat May 30 06:16:25 PDT 2009,NO_QUERY,JoniBeech,"Laid back in the back seat, coming home from leeds and listening tn Good Charlotte. "
Negative,2060254879,Sat Jun 06 18:33:27 PDT 2009,NO_QUERY,Theo_Jazz,@Leonniiee lookin @ nandos pics!!! I miss those times! 
Positive,1795411889,Thu May 14 07:43:38 PDT 2009,NO_QUERY,SamanthasArt,Swallowtail Butterfly ACEO.... just in time for summer!  http://bit.ly/PjMUS
Positive,1968967127,Fri May 29 22:40:17 PDT 2009,NO_QUERY,MissKey,I actually enjoyed Angels &amp; Demons and the company 
Positive,1677330444,Sat May 02 01:31:43 PDT 2009,NO_QUERY,phplance,decode this email please  by court912; - http://u.nu/2wn3  #job #php #freelance
Negative,1686817303,Sun May 03 06:52:28 PDT 2009,NO_QUERY,divakristin,morning yall! looooooong night! preston has a cold again!  poor baby
Negative,2053383443,Sat Jun 06 04:21:30 PDT 2009,NO_QUERY,LightFoundDark,My weekend plans have been utterly demolished.   I knew it was coming
